,0
0,"""Every week we speak directly to countries, the media and the public so that we can keep everyone up to date on the latest scientific evidence and the evolution of the #COVID19 pandemic""-@DrTedros"
1,Asymptomatic: people who are infected but never go on to develop symptoms Pre-symptomatic: people who are infected but have not yet developed symptoms Symptomatic: people who are infected and showing symptoms #COVID19 #coronavirus Learn more 
2,Live on #COVID19 transmission with @DrMikeRyan &amp; Dr @mvankerkhove. #AskWHO
3,"Wash your hands for 40 seconds and sing along ""Wash Wash Wash Your Hands"" with @peppapig and and her friends, Rebecca Rabbit and Mr Badger! Washing your hands can help to stop the spread of #COVID19 "
4,The @Minions &amp; Gru are supporting WHO in making sure people of all ages stay safe and healthy during this #COVID19 pandemic: physically distancing being active at home being kind to each other 
5,"""So far, WHO has shipped more than 5 million items of personal protective equipment (PPE) to 110 countries. We are now in the process of shipping more than 129 million items of PPE to 126 countries""-@DrTedros #COVID19"
6,"""We also encourage countries to strengthen the fundamental public health measures that remain the basis of the response: find, isolate, test and care for every case, and trace and quarantine every contact""-@DrTedros #COVID19"
7,Stay informed on the latest information about #COVID19 from trusted sources. Try WHO WhatsApp service http://bit.ly/who-covid19-whatsapp Start by typing ‘hi’. #coronavirus
8,WHO updated guidance on the use of masks for control of #COVID19: https://bit.ly/2AJYSMS The new guidance is based on evolving evidence and provides updates on: who should wear a mask when a mask should be worn what a mask should be made of
9,"""WHO will continue to provide the world with advice based on the most up-to-date evidence, as part of our commitment to serving the world with science, solutions and solidarity""-@DrTedros #COVID19"
10,"""The cornerstone of the response in every country must be to find, isolate, test and care for every case, and to trace and quarantine every contact. That is what we know works. That is every country’s best defense against #COVID19""-@DrTedros"
11,"""I cannot say this clearly enough: masks alone will not protect you from #COVID19. Masks are not a replacement for physical distancing, hand hygiene and other public health measures. Masks are only of benefit as part of a comprehensive approach""-@DrTedros"
12,"""Masks can also create a false sense of security, leading people to neglect measures such as hand hygiene and physical distancing""-@DrTedros #COVID19"
13,"""Our guidance also explains how to use a mask safely. People can potentially infect themselves if they use contaminated hands to adjust a mask, or to repeatedly take it off and put it on, without cleaning hands in between""-@DrTedros #COVID19 "
14,"""Third, WHO has also updated its guidance on the use of masks by the general public in areas with community transmission""-@DrTedros #COVID19"
15,"""Second, in areas with community transmission, we advise that 𝗽𝗲𝗼𝗽𝗹𝗲 𝗮𝗴𝗲𝗱 60 𝘆𝗲𝗮𝗿𝘀 𝗼𝗿 𝗼𝘃𝗲𝗿, or those with underlying conditions, should wear a medical mask in situations where physical distancing is not possible""-@DrTedros #COVID19"
16,"""WHO continues to advise that people caring for an infected person at home should wear a medical mask while they are in the same room as the sick person""-@DrTedros #COVID19"
17,"""Here’s what has not changed: People confirmed to have #COVID19 should be isolated &amp; cared for in a health facility &amp; their contacts should be quarantined. If it is absolutely necessary for a sick person or a contact to leave the house, they should wear a medical mask""-@DrTedros"
18,"""I wish to be very clear that the guidance we are publishing today is an update of what we have been saying for months: that masks should only ever be used as part of a comprehensive strategy. Masks on their own will not protect you from #COVID19""-@DrTedros"
19,"""WHO has developed this [mask] guidance through a careful review of all available evidence, and extensive consultation with international experts and civil society groups""-@DrTedros #COVID19"
20,"""We always aim to be clear about evolving science, and we’re committed to accountability for everything we do and say""-@DrTedros #COVID19"
21,Media briefing on #COVID19 with @DrTedros
22,"#COVID19 explainer on masks: who should wear them, when and how More: https://bit.ly/2AJYSMS #coronavirus"
23,False information on #COVID19 is spreading &amp; putting people in danger. Make sure to double-check everything you hear against trusted sources. For accurate information on #coronavirus find official advice from your country's public health authority &amp; WHO!
24,"""This online tool enables countries to enter planned activities for which they need support & donors to match their contributions to these activities. So far, 105 natl. plans have been uploaded & 56 donors have entered their contributions, totalling USD 3.9B""-@DrTedros #COVID19"
25,"""As part of our commitment to coordinating the global response, WHO is also running the #COVID19 Partners Platform, an online tool that enables countries to match needs with resources""-@DrTedros"
26,"""We emphasise that digital tools do not replace the human capacity needed to do contact tracing. Starting tomorrow, WHO is convening an online consultation on #COVID19 contact tracing, to share technical &amp; operational experience, incl. innovations in digital technology""-@DrTedros"
27,"""WHO has also published new guidelines on the use of digital tools for contact tracing. Many digital tools have been developed to assist with contact tracing and case identification""-@DrTedros #COVID19 "
28,"""Last week we published guidance that describes how existing polio surveillance networks can be used in the #COVID19 response, and outlines the measures that should be put in place to maintain an effective level of surveillance for polio""-@DrTedros"
29,"""We continue to urge active surveillance to ensure the virus does not rebound, especially as mass gatherings of all kinds are starting to resume in some countries""-@DrTedros #COVID19"
30,"""In these countries, the biggest threat now is complacency. Results from studies to see how much of the population has been exposed to the virus show that most people globally are still susceptible to infection""-@DrTedros #COVID19"
31,"Latest snapshot of WHO's activities & work with partners in the #COVID19 response, covering: Support to countries to prepare &amp; respond Acceleration of research &amp; development Coordination https://bit.ly/2UmaLj0 #WHOImpact"
32,Say “Thank you!” with WHO-Viber Medical Superheroes sticker pack to show your appreciation for #HealthWorkers who are working around the clock in time of #COVID19! http://vb.me/e120c9 #coronavirus
33,"During crises, access to safe & healthy food is more at risk. While food is not known to transmit #COVID19, we can ensure #FoodSafety by following the tips below. Q&amp;A on COVID-19 &amp; food businesses https://bit.ly/3dBUPAQ"
34,"""Our updated guidance contains new information on the composition of fabric masks, based on academic research requested by WHO""-@DrTedros #COVID19"
35,"""Here’s what’s new: In areas with widespread transmission, WHO advises medical masks for all people working in clinical areas of a health facility, not only workers dealing with patients with #COVID19""-@DrTedros"
36,"""And WHO continues to advise that #healthworkers use medical masks and other protective equipment when dealing with suspected or confirmed #COVID19 patients""-@DrTedros"
37,"""Here’s what has not changed: WHO continues to recommend that people who are sick with symptoms of #COVID19 should remain at home, and should consult their health care provider""-@DrTedros"
38,"""Today WHO is publishing updated guidance on the use of masks for control of #COVID19. This guidance is based on evolving evidence, and provides updated advice on who should wear a mask, when it should be worn and what it should be made of""-@DrTedros"
39,"""We’ll continue to talk to our Member States, the media and the general public about what we know and where there are gaps in evidence and how that is shaping our thinking. We’ll explain what we know, what we don’t know and what we’re doing to find out more""-@DrTedros #COVID19"
40,"""Since early February, we have said that asymptomatic people can transmit #COVID19, but that we need more research to establish the extent of asymptomatic transmission. That research is ongoing""-@DrTedros"
41,#COVID19 is caused by a new virus. We are still learning about the disease every day. We need more data to better understand transmission. #coronavirus Learn more 
42,"WHO has joined forces with the #UnitedKingdom government to run “Stop The Spread”, an awareness campaign about the risks of incorrect and false information regarding the #COVID19 pandemic "
43,"""But they can also pose challenges to privacy, lead to incorrect medical advice based on self-reported symptoms, and can exclude those who do not have access to modern digital technologies""-@DrTedros #COVID19"
44,"""As part of a comprehensive approach, digital contact-tracing tools offer the opportunity to trace larger numbers of contacts in a shorter period of time, and to provide a real-time picture of the spread of the virus""-@DrTedros #COVID19"
45,"""Others use GPS or Bluetooth technology to identify those who may have been exposed to an infected person. And still others can be used by people to self-report signs and symptoms of #COVID19""-@DrTedros"
46,"""Some are designed for use by public health personnel, like WHO’s http://Go.Data application, which has been used successfully to trace contacts during the ongoing Ebola outbreak in DRC""-@DrTedros #COVID19 https://bit.ly/30mR8vo"
47,"""Contact tracing remains an essential element of the response. In some countries, there is already a strong network of #healthworkers for polio who are now being deployed for #COVID19""-@DrTedros"
48,"""As much as possible, keep at least 1 metre from others, clean your hands, cover your cough and wear a mask if you attend a protest. We remind all people to stay home if you are sick and contact a health care provider""-@DrTedros #COVID19"
49,"""Almost 7 million cases of #COVID19 have now been reported to WHO, and almost 400,000 deaths. Although the situation in Europe is improving, globally it is worsening""-@DrTedros"
50,Media briefing on #COVID19 with @DrTedros
